sku;ITEM;PX VENTA;costo;stock minimo;CATEGORIA
1-00734;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 NEGRO MATE;415,71728;214,73;;Duracril
1-00735;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 NEGRO SATINADO;415,71728;214,73;;Duracril
1-00736;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 OCRE;415,71728;214,73;;Duracril
1-00737;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 TABACO;415,71728;214,73;;Duracril
1-00738;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 VICUÑA ;415,71728;214,73;;Duracril
1-00739;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 CEDRO;271,21424;140,09;;Duracril
1-00740;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 GRIS ;271,21424;140,09;;Duracril
1-00741;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 MARRON ;271,21424;140,09;;Duracril
1-00742;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 NEGRO;271,21424;140,09;;Duracril
1-00743;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/4 NEGRO SATINADO;271,21424;140,09;;Duracril
